nim,judul,pengarang,penerbit,klasifikasi,call_number,bahasa,tahun,halaman,url,,,,,,,,
"C2155201008Judul :Prototype Sistem Dispenser Obat Berbasis IOT Di Klinik NU Palangka Raya + PDFPengarang :Astrid,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.52Call Number : TA TI 25.52 AST pBahasa :IndonesiaTahun :2025Halaman :70Halaman :70Ketersediaan :TTI2500052Tersedia di STMIK Palangkaraya",Prototype  Sistem Dispenser Obat Berbasis IOT Di Klinik NU Palangka Raya + PDF,Astrid,STMIK Palangkaraya,TA TI 25.52,TA TI 25.52 AST p,Indonesia,2025,70,https://perpus.stmikplk.ac.id/perpus/main/item/18039,,,,,,,,C2155201008
"C2155201014Judul :Penerapan Metode Analytic Hierarchy Process (AHP) Dalam Pengambilan Keputusan Lokasi Tambang EmasPengarang :Richi Richardo,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.51Call Number : TA TI 25.51 RIC pBahasa :IndonesiaTahun :2025Halaman :47Ketersediaan :TTI2500051Tersedia di STMIK Palangkaraya",Penerapan Metode  Analytic Hierarchy Process (AHP) Dalam Pengambilan Keputusan Lokasi Tambang Emas,Richi Richardo,STMIK Palangkaraya,TA TI 25.51,TA TI 25.51 RIC p,Indonesia,2025,47,https://perpus.stmikplk.ac.id/perpus/main/item/17992,,,,,,,,C2155201014
"C1955201018Judul :Sistem Pakar Identifikasi Untuk Kerusakan Scanner Dengan Menggunakan Dempster ShaferPengarang :Alfhan Reza Maulana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.50Call Number : TA TI 25.50 ALF sBahasa :IndonesiaTahun :2025Halaman :60Ketersediaan :TTI2500050Tersedia di STMIK Palangkaraya",Sistem Pakar Identifikasi Untuk Kerusakan Scanner Dengan Menggunakan Dempster Shafer,Alfhan Reza Maulana,STMIK Palangkaraya,TA TI 25.50,TA TI 25.50 ALF s,Indonesia,2025,60,https://perpus.stmikplk.ac.id/perpus/main/item/17974,,,,,,,,C1955201018
"C2155201073Judul :Sistem Pakar Diagnosis Penyakit Orang Utan Menggunakan Metode Certainty Factor + PDFPengarang :Prajina Paramita,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.49Call Number : TA TI 25.49 PRA sBahasa :IndonesiaTahun :2025Halaman :83Halaman :83Ketersediaan :TTI2500049Tersedia di STMIK Palangkaraya",Sistem Pakar Diagnosis Penyakit Orang Utan Menggunakan Metode Certainty Factor + PDF,Prajina Paramita,STMIK Palangkaraya,TA TI 25.49,TA TI 25.49 PRA s,Indonesia,2025,83,https://perpus.stmikplk.ac.id/perpus/main/item/17967,,,,,,,,C2155201073
"C1855201070Judul :Rancang Bangun Aplikasi Pendataan Murid Sekolah Minggu GKE Sakatik Palangkaraya Berbasis Web Menggunakan PHP Dan Database Mysql.Pengarang :Jonathan Permana Graciano Lotama,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.48Call Number : TA TI 25.48 JON rBahasa :IndonesiaTahun :2025Halaman :66Ketersediaan :TTI2500048Tersedia di STMIK Palangkaraya",Rancang Bangun Aplikasi Pendataan Murid Sekolah Minggu GKE Sakatik Palangkaraya Berbasis Web Menggunakan PHP Dan Database Mysql.,Jonathan Permana Graciano Lotama,STMIK Palangkaraya,TA TI 25.48,TA TI 25.48 JON r,Indonesia,2025,66,https://perpus.stmikplk.ac.id/perpus/main/item/17966,,,,,,,,C1855201070
"C2155201013Judul :Augmented Reality (AR) Pada Aplikasi Pengenalan Perangkat Multimedia Di David Studio Berbasis Android.Pengarang :Aditya Putra Pratama,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.47Call Number : TA TI 25.47 ADI aBahasa :IndonesiaTahun :2025Halaman :99Ketersediaan :TTI2500047Tersedia di STMIK Palangkaraya",Augmented Reality (AR) Pada Aplikasi Pengenalan Perangkat Multimedia Di David Studio Berbasis Android.,Aditya Putra Pratama,STMIK Palangkaraya,TA TI 25.47,TA TI 25.47 ADI a,Indonesia,2025,99,https://perpus.stmikplk.ac.id/perpus/main/item/17964,,,,,,,,C2155201013
"C2155201090Judul :Analisis Perbandingan Quality Of Service (QoS) Pada Jaringan Starlink Gen 2 V3 Dan Gen 3 V4 Menggunakan Mikrotik Jenis GR3 Di Warung Mamah Rivah Desa KalanamanPengarang :Silvano Ardianto,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.46Call Number : TA TI 25.46 SIL aBahasa :IndonesiaTahun :2025Halaman :78Ketersediaan :TTI2500046Tersedia di STMIK Palangkaraya",Analisis Perbandingan Quality Of Service (QoS) Pada Jaringan Starlink Gen 2 V3 Dan Gen 3 V4 Menggunakan Mikrotik Jenis GR3 Di Warung Mamah Rivah Desa Kalanaman,Silvano Ardianto,STMIK Palangkaraya,TA TI 25.46,TA TI 25.46 SIL a,Indonesia,2025,78,https://perpus.stmikplk.ac.id/perpus/main/item/17962,,,,,,,,
"C2155201093Judul :Protoype Pendeteksi Hujan Pada Atap Otomatis Untuk Lingkungan Rumah Menggunakan ESP8266 Dan Blynk + PDFPengarang :Steven Winata,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.45Call Number : TA TI 25.45 STE pBahasa :IndonesiaTahun :2025Halaman :50Halaman :50Ketersediaan :TTI2500045Tersedia di STMIK Palangkaraya",Protoype Pendeteksi Hujan Pada Atap Otomatis Untuk Lingkungan Rumah Menggunakan ESP8266 Dan Blynk + PDF,Steven Winata,STMIK Palangkaraya,TA TI 25.45,TA TI 25.45 STE p,Indonesia,2025,50,https://perpus.stmikplk.ac.id/perpus/main/item/17961,,,,,,,,
"C2155201109Judul :Taman Pintar Berbasis IOT Pada STMIK Palangkaraya + PDF.Pengarang :Lorensi G.P. Marpaung,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.44Call Number : TA TI 25.44 LOR tBahasa :IndonesiaTahun :2025Halaman :57Halaman :57Ketersediaan :TTI2500044Tersedia di STMIK Palangkaraya",Taman Pintar Berbasis IOT Pada STMIK Palangkaraya + PDF.,Lorensi G.P. Marpaung,STMIK Palangkaraya,TA TI 25.44,TA TI 25.44 LOR t,Indonesia,2025,57,https://perpus.stmikplk.ac.id/perpus/main/item/17960,,,,,,,,
"C2155201113Judul :Implementasi Sistem Arsip Surat Keluar Dan Masuk Berbasis Enkripsi AES Di Dinas Ketahanan Pangan Provinsi Kalimantan Tengah + PDFPengarang :Amrullah,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.43Call Number : TA TI 25.43 AMR iBahasa :IndonesiaTahun :2025Halaman :87Halaman :87Ketersediaan :TTI2500043Tersedia di STMIK Palangkaraya",Implementasi Sistem Arsip Surat Keluar Dan Masuk Berbasis Enkripsi AES Di Dinas Ketahanan Pangan Provinsi Kalimantan Tengah + PDF,Amrullah,STMIK Palangkaraya,TA TI 25.43,TA TI 25.43 AMR i,Indonesia,2025,87,https://perpus.stmikplk.ac.id/perpus/main/item/17959,,,,,,,,
"C2155201026Judul :Penerapan Fuzzy Tsukamoto Untuk Prediksi Harga Pangan Di Kalimantan Tengah + PDFPengarang :Christo Waredayano,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.42Call Number : TA TI 25.42 CHR pBahasa :IndonesiaTahun :2025Halaman :87Halaman :87Ketersediaan :TTI2500042Tersedia di STMIK Palangkaraya",Penerapan Fuzzy Tsukamoto Untuk Prediksi Harga Pangan Di Kalimantan Tengah + PDF,Christo Waredayano,STMIK Palangkaraya,TA TI 25.42,TA TI 25.42 CHR p,Indonesia,2025,87,https://perpus.stmikplk.ac.id/perpus/main/item/17958,,,,,,,,
"C2155201036Judul :Penerapan Augmented Reality Untuk Pengenalan Tradisi Tampung Tawar Suku Dayak Ngaju Berbasis Android + PDFPengarang :Candra Kirana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.41Call Number : TA TI 25.41 CAN pBahasa :IndonesiaTahun :2025Halaman :89Halaman :89Ketersediaan :TTI2500041Tersedia di STMIK Palangkaraya",Penerapan Augmented Reality Untuk Pengenalan Tradisi Tampung Tawar Suku Dayak Ngaju Berbasis Android + PDF,Candra Kirana,STMIK Palangkaraya,TA TI 25.41,TA TI 25.41 CAN p,Indonesia,2025,89,https://perpus.stmikplk.ac.id/perpus/main/item/17956,,,,,,,,
"C2155201024Judul :Sistem Pakar Deteksi Dini Gizi Buruk Pada Balita Usia 12-59 Bulan Menggunakan Metode Forward Chaining .Pengarang :Joshua Jovananto Tahan,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.40Call Number : TA TI 25.40 JOS sBahasa :IndonesiaTahun :2025Halaman :67Ketersediaan :TTI2500040Tersedia di STMIK Palangkaraya",Sistem Pakar Deteksi Dini Gizi Buruk Pada Balita Usia 12-59 Bulan Menggunakan Metode Forward Chaining .,Joshua Jovananto Tahan,STMIK Palangkaraya,TA TI 25.40,TA TI 25.40 JOS s,Indonesia,2025,67,https://perpus.stmikplk.ac.id/perpus/main/item/17937,,,,,,,,
"C2155201118Judul :Implementasi Manajemen Ancaman Keamanan Jaringan Hotspot Voucher Dan EDC Di Warung Mama Mekchal Di Desa Bagendang Hulu Kab. Kotim + PDFPengarang :Arafi Kalja Ruhmana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.39Call Number : TA TI 25.39 ARA iBahasa :IndonesiaTahun :2025Halaman :55Halaman :55Ketersediaan :TTI2500039Tersedia di STMIK Palangkaraya",Implementasi Manajemen Ancaman Keamanan Jaringan Hotspot Voucher Dan EDC Di Warung Mama Mekchal Di Desa Bagendang Hulu Kab. Kotim + PDF,Arafi Kalja Ruhmana,STMIK Palangkaraya,TA TI 25.39,TA TI 25.39 ARA i,Indonesia,2025,55,https://perpus.stmikplk.ac.id/perpus/main/item/17935,,,,,,,,
"C2155201117Judul :Perancangan Dan Implementasi Jaringan Hotspot Untuk Voucher Internet Via Radboox Dan Mikrotik Pada Warung Mama Rivah Menggunakan Starlink Di Wilayah 3T Desa Mirah Kalanaman + PDFPengarang :Irfandi,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.38Call Number : TA TI 25.38 IRF pBahasa :IndonesiaTahun :2025Halaman :61Halaman :61Ketersediaan :TTI2500038Tersedia di STMIK Palangkaraya",Perancangan Dan Implementasi Jaringan Hotspot Untuk Voucher Internet Via Radboox Dan Mikrotik Pada Warung Mama Rivah Menggunakan Starlink Di Wilayah 3T Desa Mirah Kalanaman + PDF,Irfandi,STMIK Palangkaraya,TA TI 25.38,TA TI 25.38 IRF p,Indonesia,2025,61,https://perpus.stmikplk.ac.id/perpus/main/item/17933,,,,,,,,
"C2155201096Judul :Penerapan Metode Simulated Annealing Untuk Optimalisasi Jaringan Wifi Di GKE Panarung + PDFPengarang :Benedict Daryel Sujono,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.37Call Number : TA TI 25.37 BEN pBahasa :IndonesiaTahun :2025Halaman :60Halaman :60Ketersediaan :TTI2500037Tersedia di STMIK Palangkaraya",Penerapan Metode Simulated Annealing Untuk Optimalisasi Jaringan Wifi Di GKE Panarung + PDF,Benedict Daryel Sujono,STMIK Palangkaraya,TA TI 25.37,TA TI 25.37 BEN p,Indonesia,2025,60,https://perpus.stmikplk.ac.id/perpus/main/item/17932,,,,,,,,
"C2155201007Judul :Sistem Pendukung Keputusan Penilaian Kinerja Guru SDN 7 Bukit Tunggal Dengan Menggunakan Metode Multi Objective Optimization By Ratio Anlysis (MOORA) + PDFPengarang :Muhammad Yunus,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.36Call Number : TA TI 25.36 MUH sBahasa :IndonesiaTahun :2025Halaman :62Halaman :62Ketersediaan :TTI2500036Tersedia di STMIK Palangkaraya",Sistem Pendukung Keputusan Penilaian Kinerja Guru SDN 7 Bukit Tunggal Dengan Menggunakan Metode Multi Objective Optimization By Ratio Anlysis (MOORA) + PDF,Muhammad Yunus,STMIK Palangkaraya,TA TI 25.36,TA TI 25.36 MUH s,Indonesia,2025,62,https://perpus.stmikplk.ac.id/perpus/main/item/17931,,,,,,,,
"C2155201042Judul :Sistem Penentuan Kelayakan Kenaikan Jabatan Pada Karyawan Pizza Hut Palangka Raya Menggunakan Metode Profile Matching + PDF.Pengarang :Naya Ardelia Lesmana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.35Call Number : TA TI 25.35 NAY sBahasa :IndonesiaTahun :2025Halaman :87Halaman :87Ketersediaan :TTI2500035Tersedia di STMIK Palangkaraya",Sistem Penentuan Kelayakan Kenaikan Jabatan Pada Karyawan Pizza Hut Palangka Raya Menggunakan Metode Profile Matching + PDF.,Naya Ardelia Lesmana,STMIK Palangkaraya,TA TI 25.35,TA TI 25.35 NAY s,Indonesia,2025,87,https://perpus.stmikplk.ac.id/perpus/main/item/17930,,,,,,,,
"C2155201067Judul :Game Tebak Lagu Daerah Kalimantan Tengah Menggunakan Unity Berbasis Android + PDFPengarang :Havenu Jomera,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.34Call Number : TA TI 25.34 HAV gBahasa :IndonesiaTahun :2025Halaman :0Ketersediaan :TTI2500034Tersedia di STMIK Palangkaraya",Game Tebak Lagu Daerah Kalimantan Tengah Menggunakan Unity Berbasis Android + PDF,Havenu Jomera,STMIK Palangkaraya,TA TI 25.34,TA TI 25.34 HAV g,Indonesia,2025,0,https://perpus.stmikplk.ac.id/perpus/main/item/17907,,,,,,,,
"C2155201049Judul :Prototype Sortir Buah Jeruk Siam Pada Perkebunan Manunggal Jaya + PDFPengarang :Yohannes Tangkas,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.33Call Number : TA TI 25.33 YOH pBahasa :IndonesiaTahun :2025Halaman :57Halaman :57Ketersediaan :TTI2500033Tersedia di STMIK Palangkaraya",Prototype Sortir Buah Jeruk Siam Pada Perkebunan Manunggal Jaya + PDF,Yohannes Tangkas,STMIK Palangkaraya,TA TI 25.33,TA TI 25.33 YOH p,Indonesia,2025,57,https://perpus.stmikplk.ac.id/perpus/main/item/17897,,,,,,,,
"C2155201005Judul :Prototype Sistem Pengunci Loker Berbasis RFID Pada Perpustakaan STMIK Palangkaraya + PDFPengarang :Henry Kasuma,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.32Call Number : TA TI 25.32 HEN pBahasa :IndonesiaTahun :2025Halaman :59Halaman :59Ketersediaan :TTI2500032Tersedia di STMIK Palangkaraya",Prototype Sistem Pengunci Loker Berbasis RFID Pada Perpustakaan STMIK Palangkaraya + PDF,Henry Kasuma,STMIK Palangkaraya,TA TI 25.32,TA TI 25.32 HEN p,Indonesia,2025,59,https://perpus.stmikplk.ac.id/perpus/main/item/17895,,,,,,,,
"C2155201059Judul :Sistem Informasi Arsip Dokumen Untuk Meningkatkan Efisiensi Dan Akuntabilitas Kerja Di Inspektorat Daerah Kabupaten Seruyan + PDFPengarang :Fatur Rahman,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.31Call Number : TA TI 25.31 FAT sBahasa :IndonesiaTahun :2025Halaman :68Halaman :68Ketersediaan :TTI2500031Tersedia di STMIK Palangkaraya",Sistem Informasi Arsip Dokumen Untuk Meningkatkan Efisiensi  Dan Akuntabilitas Kerja Di Inspektorat Daerah Kabupaten Seruyan + PDF,Fatur Rahman,STMIK Palangkaraya,TA TI 25.31,TA TI 25.31 FAT s,Indonesia,2025,68,https://perpus.stmikplk.ac.id/perpus/main/item/17893,,,,,,,,
